year,avg_rating,count
1902.0,7.9,1
1903.0,7.011,1
1915.0,5.981,1
1916.0,7.085,1
1918.0,7.3,1
1920.0,7.933,1
1921.0,7.987,2
1922.0,7.672,1
1923.0,7.732,1
1924.0,7.9285,2
1925.0,7.566,3
1926.0,7.9225,2
1927.0,7.685,3
1928.0,7.7418000000000005,5
1929.0,7.412,1
1930.0,7.282666666666667,3
1931.0,7.566833333333334,6
1932.0,7.245400000000001,5
1933.0,7.324,4
1934.0,7.335,4
1935.0,7.371,5
1936.0,7.806333333333332,3
1937.0,7.251333333333334,3
1938.0,7.425999999999999,6
1939.0,7.6626666666666665,6
1940.0,7.621111111111111,9
1941.0,7.316111111111111,9
1942.0,7.1861999999999995,5
1943.0,7.560599999999999,5
1944.0,7.356875,8
1945.0,7.5774,10
1946.0,7.55576923076923,13
1947.0,7.343125,8
1948.0,7.504909090909091,11
1949.0,7.40925,8
1950.0,7.566272727272727,11
1951.0,7.330500000000001,10
1952.0,7.794625,8
1953.0,7.344777777777777,18
1954.0,7.42415,20
1955.0,7.320947368421053,19
1956.0,7.439800000000001,15
1957.0,7.643555555555555,18
1958.0,7.397230769230769,13
1959.0,7.462285714285715,14
1960.0,7.4671666666666665,24
1961.0,7.540649999999999,20
1962.0,7.625566666666667,30
1963.0,7.382625,24
1964.0,7.392538461538461,26
1965.0,7.237565217391304,23
1966.0,7.372074074074074,27
1967.0,7.2992608695652175,23
1968.0,7.1384,30
1969.0,7.184950000000001,20
1970.0,7.129043478260869,23
1971.0,7.112926829268293,41
1972.0,7.037235294117647,34
1973.0,7.2654883720930235,43
1974.0,7.134324324324325,37
1975.0,7.172533333333333,30
1976.0,7.112948717948718,39
1977.0,6.95715625,32
1978.0,6.876049999999999,40
1979.0,7.083142857142857,35
1980.0,6.912260869565217,46
1981.0,6.908018867924528,53
1982.0,6.97846,50
1983.0,6.8914081632653055,49
1984.0,6.886147058823529,68
1985.0,6.815013157894737,76
1986.0,6.8883,70
1987.0,6.883797297297297,74
1988.0,6.884181818181818,88
1989.0,6.821125,80
1990.0,6.785653846153846,78
1991.0,6.908353658536585,82
1992.0,6.866036144578313,83
1993.0,6.925383177570093,107
1994.0,6.856585858585859,99
1995.0,6.916158878504673,107
1996.0,6.740920792079208,101
1997.0,6.842206896551724,116
1998.0,6.861314516129032,124
1999.0,6.84504347826087,115
2000.0,6.8680403225806455,124
2001.0,6.758873333333334,150
2002.0,6.781532051282052,156
2003.0,6.791861635220125,159
2004.0,6.787485714285714,175
2005.0,6.770154285714286,175
2006.0,6.785253807106598,197
2007.0,6.7704305555555555,216
2008.0,6.74140291262136,206
2009.0,6.789271889400921,217
2010.0,6.716962343096235,239
2011.0,6.731921161825726,241
2012.0,6.749262672811059,217
2013.0,6.722724381625442,283
2014.0,6.769300675675676,296
2015.0,6.766695035460994,282
2016.0,6.779750819672131,305
2017.0,6.793624605678234,317
2018.0,6.819944606413994,343
2019.0,6.891340909090909,352
2020.0,6.8332037037037034,270
2021.0,6.929256578947369,304
2022.0,6.880161512027491,291
2023.0,6.934869198312237,237
2024.0,6.84282183908046,174
2025.0,6.909532258064517,62
