title,x,y,cluster
The Lord of the Rings: The Two Towers,-0.034640318607887924,-0.05565841577168696,0
Spider-Man: Into the Spider-Verse,-0.08570619868913176,-0.07684063120171523,3
Hope,-0.04057659543822212,0.007798646882425134,2
Howl's Moving Castle,-0.005779700134550956,0.10280710272063877,2
The Empire Strikes Back,-0.0064060714972439155,-0.011448203518295924,0
Primal: Tales of Savagery,-0.016389490805476022,0.18239134396603462,0
A Silent Voice: The Movie,0.012552699883876455,0.0707913075676153,3
The Pianist,0.01805651149916848,0.04705793922677524,0
Gabriel's Inferno: Part II,-0.014162448664066875,0.14639070135382515,2
Whiplash,-0.0517164051504625,0.08067411355531763,3
Se7en,0.008728699572302497,0.08001129610107786,0
Gabriel's Inferno: Part III,0.027120052282276486,0.04132039533589707,0
Lucy Shimmers and the Prince of Peace,0.031218112931119,0.07942424495696819,3
Inception,0.13539246438270225,-0.03858482761295189,3
Radical,0.032266591505276734,-0.07089072537142659,1
High and Low,0.010406940095144698,0.028024115545139238,3
Rear Window,-0.059168402183835275,-0.06787824924515186,3
The Silence of the Lambs,-0.007232064644525783,-0.005444693082441348,3
Spider-Man: Across the Spider-Verse,0.18975504791744777,-0.048659853385969995,3
The Legend of Hei,-0.03615471485893594,-0.07161259387813532,3
American History X,-0.029273884883745518,0.008217298724195089,3
The Quintessential Quintuplets Movie,0.0018151676079949837,0.06778828467302712,1
Princess Mononoke,-0.047436930305365374,0.04543488268497338,0
Dou kyu sei – Classmates,0.024509190415279273,0.11542830369268775,1
A Brighter Summer Day,-0.02492961250232543,0.06319480449687004,3
Back to the Future,-0.00029869432277493044,0.100115788789602,3
The Wild Robot,0.01370312375481254,0.004623307017571781,1
Counterattack,-0.044847312586482876,-0.03383114914056809,3
"Josee, the Tiger and the Fish",0.006125895407586549,0.04348436065313601,1
Ikiru,-0.10296600556533766,-0.09754815866055012,3
Perfect Blue,0.007815405010553644,0.06273349491312323,2
Léon: The Professional,-0.039900187612234836,-0.07321535292130196,3
Dead Poets Society,0.006001750368392851,-0.00869853942788152,0
Violet Evergarden: The Movie,0.1162507946634427,-0.035614638340487385,2
Sunset Boulevard,-0.039623459833736815,0.03627252744425963,3
The Great Dictator,-0.013841283717471311,0.0997214015894333,3
Dedicated to my ex,0.03342745144886943,0.007520274472717251,1
We All Loved Each Other So Much,-0.06502186662785668,-0.07476879178786869,1
Once Upon a Time in the West,0.10334435914233207,0.06998095581979147,0
Hotarubi no Mori e,-0.013428482503267853,-0.02115138410931993,2
Given,-0.023988825995640044,0.031528381699085,3
Modern Times,0.0819830185936043,-0.007599029498185082,3
Once Upon a Studio,-0.05323523436866111,-0.0050250983994673225,0
Neon Genesis Evangelion: The End of Evangelion,-0.01814039160072244,-0.06939746904153601,3
The Intouchables,0.014891658254395392,0.002418991228543741,0
It's a Wonderful Life,0.15944092236578714,-0.047235883998722826,3
Apocalypse Now,-0.07608700637825326,-0.0737953089026656,3
City Lights,0.011830412739715468,0.02835571845385419,3
Paths of Glory,-0.06565969131890166,0.023222066984382325,0
The Lion King,0.021910076301484487,0.11474102004646235,3
Miracle in Cell No. 7,-0.02348434575370881,-0.025962709640585852,3
Le Trou,0.028473562815792868,0.09351182798451126,1
Rascal Does Not Dream of a Dreaming Girl,-0.07227922789131955,-0.08610417159566583,3
Oldboy,-0.025585768231482366,0.048554422583952775,3
The Legend of 1900,-0.00890022876389297,0.013383203049754586,0
Taylor Swift: Reputation Stadium Tour,-0.04177408808860221,-0.047313133498675275,0
I Want to Eat Your Pancreas,-0.05479568038441124,0.04043411136002714,2
Clouds,0.30850878315816077,-0.050440347141307164,3
Life in a Year,-0.06846689731852304,-0.07384689940311383,2
Avengers: Endgame,-0.05217859428642743,-0.0594703745679256,0
Klaus,-0.02355369793585928,0.024570647492929986,3
Avengers: Infinity War,0.04109200187548005,0.23183422498882078,0
Evangelion: 3.0+1.0 Thrice Upon a Time,-0.11277355780914988,-0.08514972247059363,0
Five Feet Apart,0.010607268026667982,-0.015908219080525775,2
The Matrix,-0.06139910443763018,0.059009510797027175,0
Come and See,0.0016599365246966515,0.15318287282232512,3
Il Sorpasso,0.026077290986254543,-0.002071616160685448,1
Ultraman: Rising,0.07409250065718687,0.08836550251407921,3
Out of the Clear Blue Sky,-0.0431001279029674,-0.007177482647089778,3
Green Book,-0.046440343440623505,0.05547932021649474,0
Mommy,-0.0019580376604125746,0.08378326699655514,3
Wolf Children,-0.0747973511403643,-0.004503944249486757,2
Gladiator,-0.03624223142986793,-0.05900131166822237,0
Justice League Dark: Apokolips War,0.018755251156223226,0.01374751475041971,0
Saving Private Ryan,0.006173473214605948,0.0014580398705181827,0
Puss in Boots: The Last Wish,-0.041219526331422146,-0.04959811819851773,3
Witness for the Prosecution,0.013670706094600832,0.08696107033066772,0
Inglourious Basterds,0.05598299961973016,-0.026371554300084005,0
"The Boy, the Mole, the Fox and the Horse",-0.03141223650637805,-0.04041031491813478,0
Wolfwalkers,-0.02158476250008447,0.08978081267584749,2
Woman in the Dunes,0.05365940665774091,0.047135117519929,3
The Shining,0.08998178729536734,-0.01242802638075732,0
TAYLOR SWIFT | THE ERAS TOUR,-0.12293233707483142,-0.09858840855743047,0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,0.09810521918556404,0.030278157134606173,3
The Help,0.033114927901993094,-0.08113208318046468,2
Star Wars,-0.02016591467560141,-0.0509684128998732,0
The Art of Racing in the Rain,-0.01805279279374793,0.05498060335391472,3
The Handmaiden,-0.028143033125875735,-0.0590112660989377,2
Michael Jackson's Thriller,0.08738439605751053,-0.033345852294670165,0
The Prestige,-0.012892060100102843,0.08974787105349319,0
Coco,-0.0711965359868673,-0.0631647187879912,3
Shutter Island,-0.05126913782750979,-0.04336707121848156,0
My Mom Is a Character 3,-0.08017945905400216,-0.06931340928157961,2
Maquia: When the Promised Flower Blooms,-0.03538398184728707,0.05966445078617035,2
Doctor Who: The Day of the Doctor,-0.0470180251290655,-0.05647158158523568,0
The Apartment,-0.02846092018009923,-0.04132898044195895,3
Hacksaw Ridge,-0.11106368589020216,-0.09560248089620757,0
A Clockwork Orange,-0.0320854686794383,-0.0434130045874336,1
Django Unchained,-0.0065981179100391765,-0.008279037293471438,3
The Seventh Seal,-0.09803736546286479,-0.028671794525204575,3
20th Century Girl,-0.038909415656943364,-0.05441652402830666,2
Steven Universe: The Movie,-0.026680828869025012,0.05091441076558793,0
Bicycle Thieves,-0.028272435217833358,-0.03656614270970961,3
Memento,0.1307604252592406,0.009140951071148725,3
Investigation of a Citizen Above Suspicion,-0.11793473177430555,-0.11294731731677925,3
The Usual Suspects,0.13222695921003327,-0.009864192524136152,3
Top Gun: Maverick,-0.06208830498470873,-0.06348620455360736,0
Tokyo Story,0.06452377835330789,-0.09490639144205062,1
Flow,-0.020165648261309916,0.017163628795689972,0
Alien,0.008711872599582098,0.08686484435374345,0
The Departed,-0.0013649617994611028,0.04837080964484587,0
Vertigo,-0.05866571859785441,0.020097706078153678,2
Scarface,-0.006298122866642712,0.03827791253345116,3
Black Clover: Sword of the Wizard King,-0.07143305467748465,-0.07955840959744946,0
Innocent Voices,-0.018218341243411516,0.09747105776502298,3
Good Will Hunting,-0.030529560860015046,-0.05514361097169459,3
My Hero Academia: Heroes Rising,0.013447427093328492,0.0021587222940472853,1
Casablanca,0.10210362468394649,-0.08413221389883618,3
The Kid,-0.020412091504507766,-0.05310669803906075,3
Silenced,-0.020065144699910376,0.12675951352365103,0
Piper,-0.034378408670343516,-0.03843156152077972,2
The Truman Show,-0.0027076032644108745,0.031365438851952795,0
Persona,0.013659226010562554,-0.037035745572455654,1
Capernaum,-0.024584681959072426,-0.0408720384421529,3
Singin' in the Rain,-0.08854728492756292,-0.08491403735467588,1
My Friends,-0.02839266784879899,0.01636082670023115,1
Violet Evergarden: Eternity and the Auto Memory Doll,-0.0886425344496178,-0.10685800737284519,2
Togo,0.017152684972070707,0.07264353940066867,0
Central Station,-0.01890732491498869,-0.04035939712781404,3
Dune: Part Two,-0.04787626121085416,-0.02349064879464894,0
Palmer,-0.016078215464558437,-0.023668239189700607,3
Bound by Honor,-0.005795556462427812,0.09693172747262645,0
Taxi Driver,-0.00894350211350265,0.031012269852989393,3
Joker,-0.0020724605193332586,0.12513724327169246,0
8½,-0.04510664604911169,-0.03771075197166743,3
Terminator 2: Judgment Day,-0.07307942795444963,0.04749764556630572,0
Better Days,-0.0009748922546861973,-0.013566917618936587,2
Jujutsu Kaisen 0,0.08168406417245573,-0.013738472804124099,3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.004782022177245677,0.1063499388922295,0
Full Metal Jacket,0.07176000353907076,0.025157219852111442,0
There's Still Tomorrow,0.021534133833816207,0.009759206953866456,2
Green Snake,-0.10182246317437237,-0.09455108455078605,3
The Shop Around the Corner,0.06255148322047276,0.009811047809880527,1
Red Beard,-0.02609052663668481,-0.04738826693354634,3
Reservoir Dogs,-0.021047828367512043,-0.04938106064113848,0
Portrait of a Lady on Fire,-0.021772003354676977,0.03086542263026446,0
Wonder,-0.05985127548613535,0.028652574873612575,0
Zack Snyder's Justice League,0.09758783500463866,0.03516556001639385,0
Call Me by Your Name,0.07899802625835467,-0.07004527684611984,3
"“The Shorts” by Aldo, Giovanni and Giacomo",0.017853537392339087,-0.03148049581290909,0
The Father,-0.009126817682802584,-0.03650932471579336,3
Stalker,-0.002312202553969283,0.11162691414986205,0
"Lock, Stock and Two Smoking Barrels",-0.12089058648895443,-0.06216766632186187,1
Double Indemnity,-0.05661084865965543,-0.04814339540723257,2
Soul,0.004722672079373217,-0.004113279737490195,3
Scenes from a Marriage,0.016394105393247923,0.003665837709642003,1
Wild Strawberries,-0.07218560551969953,-0.02702731695617508,3
In the Mood for Love,0.09363041321737406,-0.04405626533425336,1
WALL·E,0.07947245631722744,-0.027968221806647774,0
New Gods: Nezha Reborn,-0.031051243100427176,-0.04689230930860322,3
"Paris, Texas",0.03240163324756522,0.12368449021513692,3
Yojimbo,-0.024409998467773832,-0.02964279701572029,0
Metropolis,-0.0382567509130894,0.0013281937656334983,0
Prisoners,-0.08800319220182924,-0.10607615255192115,2
Big Deal on Madonna Street,0.09258576280787031,-0.06168842982821528,1
Sansho the Bailiff,0.005399950292730925,0.05072985566442561,2
Mortal Kombat Legends: Scorpion's Revenge,-0.09571707523664996,-0.09018242971625252,3
The Hunt,-0.05011704254888287,0.016810519880469985,3
Incendies,-0.04187938042465365,0.06562901486895027,0
Yojimbo,0.01927642789892801,0.04173553614556169,0
